iso3,country_raw,readiness_rank,readiness_score,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS,predictor_year,outcome_year,era,region,income_classification,GOV_WGI_CC_EST_imputed,GOV_WGI_CC_EST_impute_level,GOV_WGI_PV_EST_imputed,GOV_WGI_PV_EST_impute_level,GOV_WGI_RL_EST_imputed,GOV_WGI_RL_EST_impute_level,IT.NET.BBND.P2_imputed,IT.NET.BBND.P2_impute_level,IT.CEL.SETS.P2_imputed,IT.CEL.SETS.P2_impute_level,NY.GDP.PCAP.PP.CD_imputed,NY.GDP.PCAP.PP.CD_impute_level,SE.TER.ENRR_imputed,SE.TER.ENRR_impute_level,IP.JRN.ARTC.SC_imputed,IP.JRN.ARTC.SC_impute_level,TX.VAL.TECH.MF.ZS_imputed,TX.VAL.TECH.MF.ZS_impute_level,group
PAN,Panama,89,44.38966066,-0.566951499999999,0.3693808,-0.227944099999999,282.01,156.586507591014,18.1341265585334,39813.385793997215,53.6949637061742,1.0004916401567496,2023,2024,0,Latin America & Caribbean,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
FJI,Fiji,90,44.21900038,0.5323283,0.782933,0.3256265,217.87,361.048644963723,1.82947481185312,14644.177375436131,60.9679066767014,1.646797844430439,2023,2024,0,East Asia & Pacific,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
IRN,Iran (Islamic Republic of),91,43.88147313,-1.17112979999999,-1.2694112,-1.20046299999999,55085.25,166.279821209677,12.0205942239083,18917.09147231324,55.5320185816789,9.413042831383748,2023,2024,0,Middle East & North Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,True,income_year_only,Rest
TUN,Tunisia,92,43.67929184,-0.192361099999999,-0.776038,-0.3148235,5492.92,132.653682480562,14.0829860846719,14040.59611481423,38.1219482421875,7.701107442841051,2023,2024,0,Middle East & North Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
KEN,Kenya,93,43.55729827,-0.7594497,-0.971652,-0.427558899999999,2078.83,120.612416887959,2.38882511128724,6317.039046650906,8.67676730066979,3.041694167283178,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
NGA,Nigeria,94,43.32516864,-1.098731,-1.9559706,-0.934848799999999,9799.39,98.4772822731425,0.051283785190682,8705.434266935388,12.506988894909163,3.530423702949878,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
GHA,Ghana,95,43.30178073,-0.1303327,-0.0688107,-0.0029916,3269.86,98.8059221412722,0.555476730525596,7556.416054532344,22.0958254757285,2.110037622114449,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BEN,Benin,96,42.96796567,-0.1047671,-0.3096247,-0.390917399999999,437.17,116.036046685168,0.170880461346773,4129.966120014199,12.506988894909163,4.418015139759824,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
CUB,Cuba,97,42.43439145,-0.1628482,0.4305507,-0.5659906,1216.63,69.5767786567811,2.97118012807884,19578.47715749292,49.7285704304293,6.296984441306631,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,True,region_income_year,Rest
MNG,Mongolia,98,42.36130396,-0.6187813,0.6432601,-0.1575492,276.87,141.08481753135,14.5529107220073,18004.85120583547,67.941399950927,22.536554566993505,2023,2024,0,East Asia & Pacific,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ZMB,Zambia,100,41.87395066,-0.39812,-0.0111463999999999,-0.6089819,367.3,102.06156495632,0.681389878819039,4076.995086866413,12.506988894909163,1.1635658888372742,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
MAR,Morocco,101,41.77772556,-0.5521901,-0.534977199999999,-0.3934002,9724.77,148.155101338402,7.02184328513844,9894.650390625,47.4687039298036,5.430705672611437,2023,2024,0,Middle East & North Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ECU,Ecuador,104,41.45594571,-0.719996,-0.3543579,-0.858649799999999,3529.8,101.031752745524,16.0678902316524,15918.516294877289,67.8851161961618,7.274233853992543,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
MRT,Mauritania,105,41.39992651,-0.7965253,-0.504269499999999,-0.8540015,46.84,90.7724948884417,0.59041012129361,6965.909535747145,12.506988894909163,2.350646234497596,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
BRB,Barbados,106,41.10918269,1.2089543,1.2767666,0.7343145,56.79,131.5537027257097,24.461076010076283,23660.404751292856,54.2600399378744,18.43361348601325,2023,2024,0,Latin America & Caribbean,High income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,False,observed,False,observed,False,observed,Rest
IRQ,Iraq,107,40.90613432,-1.4169702,-2.2246949,-1.5002727,16724.1,101.388721479182,17.2312565041583,14652.521239921178,55.5320185816789,9.413042831383748,2023,2024,0,Middle East & North Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,True,income_year_only,Rest
CPV,Cabo Verde,108,40.67090537,0.8619303,0.8691911,0.422484,18.34,113.022968194497,7.23008973237277,10242.153201121184,29.1327602754447,1.152150058359217,2023,2024,0,Sub-Saharan Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
PAK,Pakistan,109,40.47235612,-1.0461855,-1.9403838,-1.0042887,20519.11,76.5397606213172,1.35622425766449,6013.9896363860025,10.4770304814137,1.9028093899842704,2023,2024,0,South Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
TTO,Trinidad and Tobago,110,40.13955078,-0.3161967,0.3397269,-0.315203499999999,245.56,134.230557337258,26.8942307436398,34623.36915009585,63.55896639763014,0.2232296423431168,2023,2024,0,Latin America & Caribbean,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
AZE,Azerbaijan,111,39.92386783,-0.881959199999999,-0.4004143,-0.5160585,1544.24,107.686732782159,20.8825041017301,23651.59948527556,41.3907560278377,4.172244876301505,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
PRY,Paraguay,112,39.53861042,-1.0149203,0.0023837999999999,-0.580114999999999,253.35,126.605481531224,12.8835504093571,17564.491236937418,43.3179799459156,9.96565594921736,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
BLR,Belarus,113,39.23880845,-0.534353699999999,-0.392606499999999,-1.2155307,1429.41,128.979176539764,35.0931910729644,30834.17736681112,72.8250212584046,8.590687803545645,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,Rest
LCA,Saint Lucia,114,39.10720613,0.3771938,1.044299,0.5120691,2.54,121.13452832743144,15.684638711122204,25974.50929252631,15.0396404266357,6.296984441306631,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,False,observed,False,observed,True,region_income_year,Rest
DZA,Algeria,115,39.05673544,-0.6397452,-0.7317401,-0.7329544,7676.5,111.60623555659,12.0086836084024,16824.487903462657,55.5320185816789,9.413042831383748,2023,2024,0,Middle East & North Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,income_year_only,Rest
BTN,Bhutan,117,38.77536479,1.3563935,1.3322654,0.7200012,102.52,95.6260610260877,1.31881966212479,16215.152007315288,15.0074996948242,0.0107261524845821,2023,2024,0,South Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ETH,Ethiopia,119,38.33624612,-0.4629488,-1.86375129999999,-1.03931399999999,6727.91,59.8748744402242,0.534823180349513,3060.9050300376,53.40933705283115,3.7506205580208727,2023,2024,0,Sub-Saharan Africa,,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,year_global,False,observed,False,observed,Rest
BWA,Botswana,120,38.16381779,0.6066871,1.0127245,0.3322692,383.84,179.027305378019,6.16495796381324,21012.10319924998,20.5658232475186,0.5394690309547364,2023,2024,0,Sub-Saharan Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
JAM,Jamaica,122,37.79095056,-0.1364542,0.4762874,-0.0768587999999999,161.41,115.092228780619,15.7852035329423,12650.90529559384,43.3179799459156,2.646989791467941,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
BLZ,Belize,124,37.58701156,-0.115986499999999,0.78967,-0.4007135,18.02,121.13452832743144,15.684638711122204,13729.89205872096,22.3734089825019,0.0,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,False,observed,False,observed,False,observed,Rest
BIH,Bosnia and Herzegovina,128,37.01680441,-0.5984163,-0.1999229,-0.3548804,1082.64,117.733690876159,28.440133083292,23376.22274771408,45.5027618408203,4.96705366555243,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SUR,Suriname,129,36.87352519,-0.3292402,0.3004618,-0.1875599,26.34,157.24614636039,17.5373597122531,21110.198020456257,4.93785087797966,3.2127494355163906,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
PNG,Papua New Guinea,130,36.84643455,-0.6018212,-0.530809,-0.510767499999999,69.76,34.0588961979896,0.228111959659795,4667.835670929906,28.07248999544252,10.248078468472276,2023,2024,0,East Asia & Pacific,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
TJK,Tajikistan,131,36.71542489,-1.1236074,-0.2876253,-1.2086884,158.35,76.215892145748,0.983936262867068,4963.582952645044,34.9689625947729,15.207791011293557,2023,2024,0,Europe & Central Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
KHM,Cambodia,133,36.6318842,-1.1216382,0.1346422,-1.099508,200.77,120.80911943838,3.64181801068419,7430.730857098369,17.4362364390629,12.98534311488826,2023,2024,0,East Asia & Pacific,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
KGZ,Kyrgyzstan,134,36.55450391,-1.1965583,-0.509667299999999,-0.973899499999999,326.91,108.59118718329,6.44652532064676,7298.086125619335,53.588822099772,16.333537286698142,2023,2024,0,Europe & Central Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
GTM,Guatemala,135,36.4144385,-1.0869128,-0.2021326,-1.0108162,108.83,113.709374947241,5.08082886037381,13745.363124179436,27.2948879201171,5.776624508393925,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SWZ,Eswatini,136,36.2250206,-0.6292553,-0.7261847,-0.7274341,30.94,128.399211381334,2.76365982774566,11299.883123678826,12.506988894909163,0.2853071586068864,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
LAO,Lao People's Democratic Republic,137,36.08236849,-0.9646387,0.7378068,-0.8447129,72.2,64.7588066942788,2.72021122524182,9291.788590011382,14.8841695785522,7.419637295834535,2023,2024,0,East Asia & Pacific,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
TZA,United Republic of Tanzania,139,35.08105029,-0.346236,-0.2367117,-0.4944742,1452.53,105.40028112088,0.10501728326893,4018.5166015625,5.16887784940301,5.068110536084612,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
CIV,Côte d'Ivoire,140,34.68702416,-0.3616761,-0.7874489,-0.6022948,391.71,171.988943341282,1.36336622359986,7237.181707409086,11.5724272130065,4.413107260117726,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
UGA,Uganda,141,34.63065106,-0.996690299999999,-1.0298391,-0.752792999999999,1423.59,76.2966796632588,0.0912969650305002,3097.6370243061856,7.791560565028497,1.408107804887939,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
MMR,Myanmar,143,34.25868139,-1.11163979999999,-2.2086828,-1.7242442,233.94,121.027626770248,2.79829802446154,5953.357351659129,28.07248999544252,2.946314142416057,2023,2024,0,East Asia & Pacific,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
GAB,Gabon,144,34.14729966,-0.9748427,-0.2702052,-1.07816429999999,90.57,122.606627765979,3.97293291301595,20755.665381766,29.1327602754447,1.773135703659753,2023,2024,0,Sub-Saharan Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
SLV,El Salvador,145,34.08661079,-0.6099566,0.0822243,-0.707075599999999,64.56,179.705636976149,11.6271746145254,12679.57687520609,32.3802636612661,6.404010712721179,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
CMR,Cameroon,147,33.45955988,-1.1264261,-1.6104201,-1.2400721,1546.9,96.4817325902196,1.2149187090440523,5410.769219376422,16.0404395184936,2.103630291610331,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
NAM,Namibia,148,33.28224969,0.1649292,0.4150583,0.3088084,231.33,87.6760954339972,3.52006938690795,11251.237031381876,12.506988894909163,0.0809713952530879,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
NPL,Nepal,150,33.1391886,-0.629219899999999,-0.312959,-0.3365421,1590.74,117.759577544938,10.6751345547041,5395.208200775129,19.0357612047581,4.566280323429497,2023,2024,0,South Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,Rest
BOL,Bolivia (Plurinational State of),151,33.07863133,-0.9556498,-0.289823899999999,-1.2028195,196.72,90.12897944794904,11.1529423948186,12892.12495787769,30.3635101318359,8.165170226380756,2023,2024,0,Latin America & Caribbean,Lower middle income,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,True,region_income_year,False,observed,False,observed,Rest
ZWE,Zimbabwe,154,32.59211942,-1.1914608,-0.998213999999999,-1.2681513,519.85,91.6344110473757,1.5745780720211,5791.192128779884,12.506988894909163,1.9421882824637644,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
MLI,Mali,155,32.26614045,-0.849355899999999,-2.5578431,-1.0366418,116.65,76.12198748689548,0.2843181166095432,3174.629602763957,7.791560565028497,5.360654760795296,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,True,region_income_year,False,observed,False,observed,Rest
MDV,Maldives,156,31.43166425,-0.2664677,0.0832571999999999,0.096589,31.74,141.601234995076,18.6292999539919,24786.203212345084,50.67965644288712,0.1895050573795499,2023,2024,0,South Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,income_year_only,False,observed,False,observed,Rest
TGO,Togo,157,31.31565682,-0.5879504,-0.9186036,-0.6302782,135.94,75.7906769713952,1.22815843837127,3154.43329348299,7.791560565028497,0.5735855993168181,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
GIN,Guinea,158,30.21187153,-1.0078531,-0.8765719,-1.1068782,54.9,97.8794996455513,1.2149187090440523,4333.746173126264,12.506988894909163,5.068352139716797,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,True,region_income_year,False,observed,True,region_income_year,Rest
HND,Honduras,159,29.83450267,-1.09932339999999,-0.3507671,-1.156469,130.35,74.4148227156961,4.36212775547539,7178.339067815222,30.3635101318359,3.3089155606212444,2023,2024,0,Latin America & Caribbean,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
MWI,Malawi,161,29.31673864,-0.627533999999999,-0.242439899999999,-0.1343556,377.51,61.0866071008045,0.079556560544817,1830.4646128744223,7.791560565028497,5.310565941059038,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
BFA,Burkina Faso,162,29.27660868,-0.2479719,-2.0423169,-0.7145087,519.72,116.16313821519,0.459463342299517,2759.3020548460527,10.1078755635882,3.7978465983735137,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
VEN,"Venezuela, Bolivarian Republic of",163,29.20533246,-1.5592697,-1.1035948,-2.2007889,474.63,70.2197325918151,10.638053537183,28768.843443790283,53.40933705283115,10.863868884776876,2023,2024,0,Latin America & Caribbean,,False,observed,False,observed,False,observed,False,observed,False,observed,True,year_global,True,year_global,False,observed,True,year_global,Rest
MDG,Madagascar,164,28.80438299,-0.9853603,-0.840940199999999,-0.955411599999999,153.44,75.4562966735535,0.124487385085979,1808.447790385791,6.1466638463036,0.4780600540770764,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
NIC,Nicaragua,165,28.53113047,-1.25988029999999,-0.0652355999999999,-1.5960126,40.65,105.843136180202,5.43030503048751,8319.97944140996,30.3635101318359,0.8046531571411112,2023,2024,0,Latin America & Caribbean,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
LSO,Lesotho,166,28.21246421,-0.3006103,-0.1357263,-0.442253499999999,60.18,69.3513051423509,0.383738154734299,2880.9662961569247,12.506988894909163,0.0742607412455622,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
GMB,Gambia (Republic of The),168,26.94732127,-0.296167199999999,0.1359932,-0.340458,79.8,117.115660832998,0.502141524068284,3289.1328305710667,7.791560565028497,2.342309834406696,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
AGO,Angola,169,26.90798042,-0.6242518,-0.3131654,-1.1944432,50.27,70.0519587723571,0.373668982990052,9753.600467637832,10.04935810264,23.47141394233337,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
NER,Niger,171,25.74480776,-0.517433,-1.65337929999999,-0.804084799999999,90.18,65.735032215569,0.107619048674827,1875.153067706276,7.791560565028497,8.96675024256666,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
SLE,Sierra Leone,173,25.33586896,-0.568678999999999,-0.5558929,-0.8268953,86.32,76.12198748689548,0.2843181166095432,3368.317271880632,7.791560565028497,2.6928697933873376,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,True,region_income_year,False,observed,True,region_income_year,Rest
COG,Congo,175,25.11623832,-1.4043963,-0.199460399999999,-1.18292059999999,95.66,94.8715365076336,1.26798412068153,6850.277706210988,10.3812103271484,3.1597223457472365,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SDN,Sudan,176,24.62888147,-1.4513517,-2.0604154,-1.65553779999999,470.62,76.12198748689548,0.2843181166095432,2420.65795898438,7.791560565028497,2.6928697933873376,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,True,region_income_year,False,observed,True,region_income_year,Rest
MOZ,Mozambique,177,24.22293552,-0.904286399999999,-1.41840379999999,-1.1016921,204.82,47.5003032540948,0.149001818335337,1678.391182436808,7.791560565028497,2.7424455781527737,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
LBR,Liberia,178,23.12197991,-1.01213,-0.174047999999999,-0.8997457,31.54,76.12198748689548,0.2843181166095432,1794.533408633621,7.791560565028497,0.6437185964982839,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,True,region_income_year,False,observed,False,observed,Rest
TCD,Chad,179,22.65971835,-1.48878199999999,-1.6839155,-1.454847,52.36,70.1873962423852,0.0,2700.36055335878,7.791560565028497,2.6928697933873376,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,True,region_income_year,Rest
COD,Democratic Republic of the Congo,181,22.09794558,-1.4890974,-1.9812287,-1.60554359999999,243.06,53.1888827659463,0.0219936280960956,1730.622288776939,7.791560565028497,0.1996116652253686,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
BDI,Burundi,182,21.13442437,-1.29205449999999,-1.2840156,-1.30785589999999,36.26,63.1631365759764,0.0203441336211462,1149.9840584238932,6.02545976638794,1.3050836704109754,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
CAF,Central African Republic,183,20.26173459,-1.3816342,-1.87417179999999,-1.7248503,25.75,76.12198748689548,0.2843181166095432,1257.0943571711448,7.791560565028497,1.8785669682649464,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,True,region_income_year,False,observed,False,observed,Rest
HTI,Haiti,184,20.05762277,-1.50126609999999,-0.971741099999999,-1.64152989999999,37.83,90.12897944794904,6.981791726927167,3291.738178870665,30.3635101318359,4.092912981381037,2023,2024,0,Latin America & Caribbean,Lower middle income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,True,region_income_year,False,observed,True,region_income_year,Rest
AFG,Afghanistan,187,16.92451775,-1.1987543,-2.3922828,-1.89680499999999,168.85,55.5474967036959,0.0800873028793967,2201.722906916772,7.791560565028497,2.6928697933873376,2023,2024,0,South Asia,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,income_year_only,False,observed,True,income_year_only,Rest
YEM,Yemen,188,14.62247898,-1.6020865,-2.6264387,-1.9069106,404.01,50.8937810578557,6.86124546257849,2361.780926867184,7.791560565028497,2.6928697933873376,2023,2024,0,Middle East & North Africa,Low income,False,observed,False,observed,False,observed,True,region_income_year,False,observed,True,income_year_only,True,income_year_only,False,observed,True,income_year_only,Rest
